No.,Player,Position,Debut,Raw-Birth-Data,BirthPlace,County,Province,Country
266,Samuel Irwin,Fwd,"v England Richmond, 3 Feb 1900","Born
July 3, 1877, Co Derry, Northern Ireland
   ",Derry,Derry,Ulster,Northern Ireland
267,Percy Nicholson,Fwd,"v England Richmond, 3 Feb 1900","Born
May 15, 1879, Cork
   ",Cork,Cork,Munster,Republic of Ireland
268,Cecil Boyd,FB,"v Scotland Lansdowne Road, 24 Feb 1900","Born
June 27, 1875, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
269,Bertie Doran,C,"v Scotland Lansdowne Road, 24 Feb 1900","Born
November 16, 1878, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
270,Thomas Harvey,Fwd,"v Wales Belfast, 17 Mar 1900","Born
April 17, 1878, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
271,Albert Freear,W,"v England Lansdowne Road, 9 Feb 1901","Born
(guess: regd Q4), Salford, Lancashire, England
   ",Salford,Unkown,Unknown,England
272,Patrick Healey,Fwd,"v England Lansdowne Road, 9 Feb 1901","Born
circa 1878, ?
   ",Unknown,Unkown,Unknown,Unknown
273,Archibald Heron,Fwd,"v England Lansdowne Road, 9 Feb 1901","Born
October 21, 1875, ?
   ",Unknown,Unkown,Unknown,Unknown
274,Harry Irvine,Fwd,"v Scotland Inverleith, 23 Feb 1901","Born
March 24, 1875, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
275,Hugh Ferris,SH,"v Wales Swansea, 16 Mar 1901","Born
July 30, 1876, Newry, Co Down
   ",Newry,Down,Ulster,Northern Ireland
276,Harry Corley,HB,"v England Leicester, 8 Feb 1902","Born
November 20, 1878, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
277,Charles Fitzgerald,W,"v England Leicester, 8 Feb 1902","Born
August 1, 1879, Lurgan
   ",Lurgan,Armagh,Ulster,Northern Ireland
278,George Hamlet,Fwd,"v England Leicester, 8 Feb 1902","Born
April 9, 1881, Balbriggan
   ",Balbriggan,Dublin,Leinster,Republic of Ireland
279,Alfred Tedford,Fwd,"v England Leicester, 8 Feb 1902","Born
January 7, 1877, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
280,John Pringle,Fwd,"v Scotland Belfast, 22 Feb 1902","Born
November 8, 1881, ?
   ",Unknown,Unkown,Unknown,Unknown
281,Henry Anderson,W,"v England Lansdowne Road, 14 Feb 1903","Born
March 17, 1882, Cape Town
   ",Unknown,Unkown,Unknown,Unknown
282,George Harvey,C,"v England Lansdowne Road, 14 Feb 1903","Born
October 27, 1882, ?
   ",Unknown,Unkown,Unknown,Unknown
283,Robertson Smyth,Fwd,"v England Lansdowne Road, 14 Feb 1903","Born
August 18, 1879, Banbridge, Co Down, Northern Ireland
   ",Banbridge,Down,Ulster,Northern Ireland
284,David Taylor,C,"v England Lansdowne Road, 14 Feb 1903","Born
October 26, 1880, ?
   ",Unknown,Unkown,Unknown,Unknown
285,James Wallace,Fwd,"v Scotland Inverleith, 28 Feb 1903","Born
October 30, 1876, Roscrea
   ",Roscrea,Tipperary,Munster,Republic of Ireland
286,George Bradshaw,W,"v Wales Cardiff, 14 Mar 1903","Born
January 3, 1882, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
287,James Parke,C,"v Wales Cardiff, 14 Mar 1903","Born
July 26, 1881, Clones, Co Monaghan
   ",Clones,Monaghan,Ulster,Republic of Ireland
288,Fred Kennedy,HB,"v England Blackheath, 13 Feb 1904","Born
January 2, 1879, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
289,Campbell Robb,W,"v England Blackheath, 13 Feb 1904","Born
February 25, 1882, Galway
   ",Galway,Galway,Connaught,Republic of Ireland
290,Thomas Robinson,FH,"v England Blackheath, 13 Feb 1904","Born
November 17, 1880, ?
   ",Unknown,Unkown,Unknown,Unknown
291,Joseph Wallace,Fwd,"v England Blackheath, 13 Feb 1904","Born
August 3, 1878, Dromakeenan, Roscrea
   ",Roscrea,Tipperary,Munster,Republic of Ireland
292,Ernest Caddell,SH,"v Scotland Lansdowne Road, 27 Feb 1904","Born
November 18, 1881, Dundalk, Louth
   ",Dundalk,Louth,Leinster,Republic of Ireland
293,John Moffatt,W,"v Scotland Lansdowne Road, 27 Feb 1904","Born
March 2, 1882, Milltown, Dublin
   ",Milltown,Dublin,Leinster,Republic of Ireland
294,Reg Edwards,Fwd,"v Wales Belfast, 12 Mar 1904","Born
January 12, 1882, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
295,Hercules Knox,Fwd,"v Wales Belfast, 12 Mar 1904","Born
August 2, 1880, Gortnor Abbey, Mayo
   ",Gort,Mayo,Connaught,Republic of Ireland
296,Maurice Landers,FB,"v Wales Belfast, 12 Mar 1904","Born
April 15, 1878, Cork
   ",Cork,Cork,Munster,Republic of Ireland
297,Henry Millar,Fwd,"v Wales Belfast, 12 Mar 1904","Born
October 30, 1878, Blackrock, Dublin
   ",Blackrock,Dublin,Leinster,Republic of Ireland
298,Harry Thrift,W,"v Wales Belfast, 12 Mar 1904","Born
December 24, 1882, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
299,Basil MacLear,C,"v England Cork, 11 Feb 1905","Born
April 7, 1881, Portsmouth, England
   ",Portsmouth,Unkown,Unknown,England
300,Hugh Wilson,Fwd,"v England Cork, 11 Feb 1905","Born
April 11, 1879, Rashee, Co Antrim
   ",Rashee,Antrim,Ulster,Northern Ireland
301,Harold Sugars,Fwd,"v New Zealand Lansdowne Road, 25 Nov 1905","Born
October 5, 1882, Dungannon
   ",Dungannon,Tyrone,Ulster,Northern Ireland
302,Francis Casement,C,"v England Leicester, 10 Feb 1906","Born
October 29, 1881, ?
   ",Unknown,Unkown,Unknown,Unknown
303,Geoffrey Henebrey,FB,"v England Leicester, 10 Feb 1906","Born
February 16, 1880, Birkenhead, England
   ",Birkenhead,Unkown,Unknown,England
304,William Purdon,SH,"v England Leicester, 10 Feb 1906","Born
November 28, 1881, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
305,Michael White,Fwd,"v England Leicester, 10 Feb 1906","Born
February 2, 1882, ?
   ",Unknown,Unkown,Unknown,Unknown
306,Bertie Gotto,C,"v South Africa Belfast, 24 Nov 1906","Born
January 20, 1881, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
307,George McIldowie,Fwd,"v South Africa Belfast, 24 Nov 1906","Born
November 3, 1886, Strandtown, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
308,William Cogan,Fwd,"v England Lansdowne Road, 9 Feb 1907","Born
circa 1882, Cork
   ",Cork,Cork,Munster,Republic of Ireland
309,Robert Forbes,Fwd,"v England Lansdowne Road, 9 Feb 1907","Born
December 11, 1880, Brentwood, Essex, England
   ",Brentwood,Unkown,Unknown,England
310,Thomas Greeves,W,"v England Lansdowne Road, 9 Feb 1907","Born
July 1, 1886, ?
   ",Unknown,Unkown,Unknown,Unknown
311,James Sweeney,Fwd,"v England Lansdowne Road, 9 Feb 1907","Born
May 29, 1884, Dunloe, Co Donegal
   ",Donegal,Donegal,Ulster,Republic of Ireland
312,Charles Thompson,FB,"v England Lansdowne Road, 9 Feb 1907","Born
May 19, 1885, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
313,Frederick Harvey,FH,"v Wales Cardiff, 9 Mar 1907","Born
September 1, 1888, Athboy, Co Meath
   ",Athboy,Meath,Leinster,Republic of Ireland
314,Billy Hinton,FB,"v Wales Cardiff, 9 Mar 1907","Born
October 27, 1882, Rathgar, Co Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
315,Charles Adams,Fwd,"v England Richmond, 8 Feb 1908","Born
December 8, 1883, Co Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
316,Herbert Aston,HB,"v England Richmond, 8 Feb 1908","Born
May 15, 1885, Rathcoole, Dublin
   ",Rathcoole,Dublin,Leinster,Republic of Ireland
317,Gerald Beckett,C,"v England Richmond, 8 Feb 1908","Born
June 23, 1886, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
318,Thomas Harpur,Fwd,"v England Richmond, 8 Feb 1908","Born
October 30, 1887, Mountmellick
   ",Mountmellick,Laois,Leinster,Republic of Ireland
319,Edward Morphy,Fwd,"v England Richmond, 8 Feb 1908","Born
January 28, 1886, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
320,Frank Smartt,SH,"v England Richmond, 8 Feb 1908","Born
December 24, 1885, ?
   ",Unknown,Unkown,Unknown,Unknown
321,Tom Smyth,Fwd,"v England Richmond, 8 Feb 1908","Born
December 12, 1884, Dirraw, Antrim, Northern Ireland
   ",Antrim,Antrim,Ulster,Northern Ireland
322,Bethel Solomons,Fwd,"v England Richmond, 8 Feb 1908","Born
February 27, 1885, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
323,Ernest Deane,W,"v England Lansdowne Road, 13 Feb 1909","Born
May 4, 1887, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
324,Michael Garry,Fwd,"v England Lansdowne Road, 13 Feb 1909","Born
circa 1887, Shanahea, Kildysart,
   ",Kildysart,Clare,Munster,Republic of Ireland
325,Godfrey Pinion,FH,"v England Lansdowne Road, 13 Feb 1909","Born
September 13, 1884, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
326,Oliver Piper,Fwd,"v England Lansdowne Road, 13 Feb 1909","Born
January 13, 1884, Neath, Wales
   ",Neath ,Unkown,Unknown,Wales
327,John Blackham,H,"v Scotland Inverleith, 27 Feb 1909","Born
October 18, 1888, Queen's
   ",Unknown,Unkown,Unknown,Unknown
328,Thomas Halpin,Fwd,"v Scotland Inverleith, 27 Feb 1909","Born
circa 1888, ?
   ",Unknown,Unkown,Unknown,Unknown
329,Richard Magrath,W,"v Scotland Inverleith, 27 Feb 1909","Born
March 21, 1878, Cork City
   ",Cork,Cork,Munster,Republic of Ireland
330,Frederick McCormac,SH,"v Wales Swansea, 13 Mar 1909","Born
May 21, 1884, Dalkey, Dublin
   ",Dalkey,Dublin,Leinster,Republic of Ireland
331,Jack O'Connor,SH,"v France Lansdowne Road, 20 Mar 1909","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
332,Alexander Foster,C,"v England Twickenham, 12 Feb 1910","Born
June 22, 1890, Londonderry, Northern Ireland
   ",Derry,Derry,Ulster,Northern Ireland
333,Dickie Lloyd,FH,"v England Twickenham, 12 Feb 1910","Born
August 4, 1891, Tamnamore, Tyrone
   ",Tamnamore,Tyrone,Ulster,Northern Ireland
334,Joseph Quinn,W,"v England Twickenham, 12 Feb 1910","Born
November 23, 1888, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
335,Harry Read,SH,"v England Twickenham, 12 Feb 1910","Born
November 8, 1888, Roscrea, Tipperary
   ",Roscrea,Tipperary,Munster,Republic of Ireland
336,William Riordan,Fwd,"v England Twickenham, 12 Feb 1910","Born
August 30, 1883, ?
   ",Unknown,Unkown,Unknown,Unknown
337,Alfred Taylor,C,"v England Twickenham, 12 Feb 1910","Born
July 6, 1889, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
338,Herbert Moore,Fwd,"v Scotland Belfast, 26 Feb 1910","Born
June 8, 1890, Downpatrick, Northern Ireland
   ",Downpatrick,Down,Ulster,Northern Ireland
339,Robert Lyle,C,"v Wales Lansdowne Road, 12 Mar 1910","Born
June 22, 1884, ?
   ",Unknown,Unkown,Unknown,Unknown
340,Arthur McClinton,FH,"v Wales Lansdowne Road, 12 Mar 1910","Born
August 16, 1886, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
341,Cyril O'Callaghan,W,"v Wales Lansdowne Road, 12 Mar 1910","Born
September 9, 1889, Carlow
   ",Carlow,Carlow,Leinster,Republic of Ireland
342,William Smyth,Fwd,"v Wales Lansdowne Road, 12 Mar 1910","Born
December 7, 1886, Dirraw, Antrim
   ",Antrim,Antrim,Ulster,Northern Ireland
343,William Beatty,P,"v France Parc des Princes, 28 Mar 1910","Born
October 23, 1888, Hollywood, Down
   ",Unknown,Down,Ulster,Northern Ireland
344,William Tyrrell,Fwd,"v France Parc des Princes, 28 Mar 1910","Born
November 20, 1885, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
345,Samuel Campbell,Fwd,"v England Lansdowne Road, 11 Feb 1911","Born
June 29, 1889
   ",Unknown,Unkown,Unknown,Unknown
346,Michael Heffernan,Fwd,"v England Lansdowne Road, 11 Feb 1911","Born
April 3, 1885, Carrick-on-Suir, County Tipperary
   ",Carrick-on-Suir,Tipperary,Munster,Republic of Ireland
347,Alexander Jackson,C,"v England Lansdowne Road, 11 Feb 1911","Born
August 25, 1890, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
348,James Smyth,Fwd,"v England Lansdowne Road, 11 Feb 1911","Born
March 31, 1891, Dirraw, Antrim
   ",Dirraw,Antrim,Ulster,Northern Ireland
349,Richard Graham,Fwd,"v France Cork, 25 Mar 1911","Born
July 22, 1889, ?
   ",Unknown,Unkown,Unknown,Unknown
350,William Edwards,Fwd,"v France Parc des Princes, 1 Jan 1912","Born
October 16, 1887, Strandtown, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
351,Robert Hemphill,Fwd,"v France Parc des Princes, 1 Jan 1912","Born
August 26, 1888, ?
   ",Unknown,Unkown,Unknown,Unknown
352,George McConnell,Fwd,"v France Parc des Princes, 1 Jan 1912","Born
August 1, 1889, Famad, Donegal
   ",Donegal,Donegal,Ulster,Republic of Ireland
353,Charles MacIvor,W,"v France Parc des Princes, 1 Jan 1912","Born
February 12, 1891, British Antilles, West Indies
   ",British Antilles,Unkown,Unknown,Unknown
354,d'Arcy Patterson,Fwd,"v France Parc des Princes, 1 Jan 1912","Born
October 23, 1889, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
355,Myley Abraham,C,"v England Twickenham, 10 Feb 1912","Born
May 9, 1887, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
356,George Killeen,Fwd,"v England Twickenham, 10 Feb 1912","Born
June 15, 1884, Kilrush, Co Clare
   ",Kilrush,Clare,Munster,Republic of Ireland
357,George Brown,P,"v Scotland Lansdowne Road, 24 Feb 1912","Born
March 27, 1888, Kilmacow, Kilkenny
   ",Kilmacow,Kilkenny,Leinster,Republic of Ireland
358,Robin Wright,FB,"v Scotland Lansdowne Road, 24 Feb 1912","Born
(guess: regd Q2), Dalkey, Dublin
   ",Dalkey,Dublin,Leinster,Republic of Ireland
359,Robert Burgess,Fwd,"v South Africa Lansdowne Road, 30 Nov 1912","Born
December 25, 1890, Eniskillen, Fermanag
   ",Eniskillen,Unkown,Unknown,Unknown
360,John Clune,H,"v South Africa Lansdowne Road, 30 Nov 1912","Born
January 21, 1893, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
361,George Holmes,C,"v South Africa Lansdowne Road, 30 Nov 1912","Born
(guess: regd Q2), Rathmines, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
362,John Minch,C,"v South Africa Lansdowne Road, 30 Nov 1912","Born
July 29, 1890, Athy, Co Kildare
   ",Athy,Kildare,Leinster,Republic of Ireland
363,Geoffrey Schute,Fwd,"v South Africa Lansdowne Road, 30 Nov 1912","Born
October 5, 1890, Dublin North
   ",Dublin,Dublin,Leinster,Republic of Ireland
364,Charles Stuart,FB,"v South Africa Lansdowne Road, 30 Nov 1912","Born
April 2, 1886, Glasgow, Scotland
   ",Glasgow,Unkown,Unknown,Scotland
365,Snipe Watson,W,"v South Africa Lansdowne Road, 30 Nov 1912","Born
(guess: regd Q3), Kinsale, Co Cork
   ",Kinsale,Cork,Munster,Republic of Ireland
366,James Finlay,Fwd,"v England Lansdowne Road, 8 Feb 1913","Born
October 11, 1887, Banbridge, Co Down, Northern Ireland
   ",Banbridge,Down,Ulster,Northern Ireland
367,Ernest Jeffares,Fwd,"v England Lansdowne Road, 8 Feb 1913","Born
(guess: regd Q2), Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
368,Patrick Stokes,F,"v England Lansdowne Road, 8 Feb 1913","Born
April 3, 1890, Fethard, Tipperary
   ",Fethard,Tipperary,Munster,Republic of Ireland
369,Gordon Young,FB,"v England Lansdowne Road, 8 Feb 1913","Born
June 21, 1887, Carngaline, Cork
   ",Cork,Cork,Munster,Republic of Ireland
370,Frank Bennett,W,"v Scotland Inverleith, 22 Feb 1913","Born
April 29, 1893, Clonakilty
   ",Clonakilty,Cork,Munster,Republic of Ireland
371,J.W. McConnell,FB,"v Scotland Inverleith, 22 Feb 1913","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
372,Patrick O'Connell,Fwd,"v Wales Swansea, 8 Mar 1913","Born
March 27, 1892, Co Tipperary
   ",Tipperary,Tipperary,Munster,Republic of Ireland
373,Stanhope Polden,SH,"v Wales Swansea, 8 Mar 1913","Born
March 24, 1885, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
374,Albert Stewart,C,"v Wales Swansea, 8 Mar 1913","Born
February 19, 1889, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
375,Andrew Todd,FB,"v Wales Swansea, 8 Mar 1913","Born
July 6, 1892, Cork
   ",Cork,Cork,Munster,Republic of Ireland
376,George Wood,W,"v Wales Swansea, 8 Mar 1913","Born
September 6, 1891, Ballina, Co Mayo
   ",Ballina,Mayo,Connaught,Republic of Ireland
377,William Collopy,H,"v France Parc des Princes, 1 Jan 1914","Born
May 5, 1894, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
378,John Dowse,Fwd,"v France Parc des Princes, 1 Jan 1914","Born
November 16, 1891, Glenageary, Co Dublin
   ",Glengeary,Dublin,Leinster,Republic of Ireland
379,Jack Parr,F,"v France Parc des Princes, 1 Jan 1914","Born
August 21, 1889, ?
   ",Unknown,Unkown,Unknown,Unknown
380,Vincent McNamara,SH,"v England Twickenham, 14 Feb 1914","Born
April 11, 1891, Blackrock, Co Cork
   ",Blackrock,Cork,Munster,Republic of Ireland
381,Frank Montgomery,FB,"v England Twickenham, 14 Feb 1914","Born
June 10, 1892, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
382,James Taylor,Fwd,"v England Twickenham, 14 Feb 1914","Born
August 22, 1891, Claudy, Londonderry
   ",Claudy,Derry,Ulster,Northern Ireland
383,Henry Jack,FH,"v Scotland Lansdowne Road, 28 Feb 1914","Born
June 14, 1891, Cork
   ",Cork,Cork,Munster,Republic of Ireland
384,Jasper Brett,W,"v Wales Belfast, 14 Mar 1914","Born
August 8, 1895,  Dún Laoghaire, Dublin
   ", Dún Laoghaire,Dublin,Leinster,Republic of Ireland
385,Charles Bryant,W,"v England Lansdowne Road, 14 Feb 1920","Born
(guess: regd Q4), Penarth, Wales
   ",Wales,Unkown,Unknown,Wales
386,Nick Butler,P,"v England Lansdowne Road, 14 Feb 1920","Born
(guess: regd Q1), Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
387,Henry Coulter,H,"v England Lansdowne Road, 14 Feb 1920","Born
December 3, 1898, Glastry, Co Down
   ",Glastry,Down,Ulster,Northern Ireland
388,William Crawford,FB,"v England Lansdowne Road, 14 Feb 1920","Born
November 17, 1891, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
389,Robert Crichton,L,"v England Lansdowne Road, 14 Feb 1920","Born
August 18, 1897, ?
   ",Unknown,Unkown,Unknown,Unknown
390,William Cullen,C,"v England Lansdowne Road, 14 Feb 1920","Born
December 7, 1894, Balghupar, India 
   ",Balghupar,Unkown,Unknown,India
391,James Dickson,W,"v England Lansdowne Road, 14 Feb 1920","Born
March 12, 1897, Enniskillen, Fermanagh
   ",Enniskillen,Fermanagh,Ulster,Northern Ireland
392,George Doherty,F,"v England Lansdowne Road, 14 Feb 1920","Born
July 17, 1893, Wandsworth, London, England
   ",London,Unkown,Unknown,England
393,Arthur Horan,SH,"v England Lansdowne Road, 14 Feb 1920","Born
October 13, 1886, Hackney, London
   ",Unknown,Unkown,Unknown,Unknown
394,William Roche,N8,"v England Lansdowne Road, 14 Feb 1920","Born
March 28, 1895, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
395,Thomas Wallace,C,"v England Lansdowne Road, 14 Feb 1920","Born
April 25, 1892, Kirkshill, Antrim Northern Ireland
   ",Kirkshill,Antrim,Ulster,Northern Ireland
396,Andy Courtney,P,"v Scotland Inverleith, 28 Feb 1920","Born
May 19, 1899, Nenagh
   ",Nenagh,Tipperary,Munster,Republic of Ireland
397,William Duggan,FH,"v Scotland Inverleith, 28 Feb 1920","Born
June 14, 1898, Skahabeg, Cork
   ",Cork,Cork,Munster,Republic of Ireland
398,Basil McFarland,W,"v Scotland Inverleith, 28 Feb 1920","Born
February 18, 1898, Londonderry, Northern Ireland
   ",Derry,Derry,Ulster,Northern Ireland
399,James O'Neill,SH,"v Scotland Inverleith, 28 Feb 1920","Born
August 21, 1895, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
400,Alfred Price,P,"v Scotland Inverleith, 28 Feb 1920","Born
April 25, 1892, Glenbeigh, Co Kerry
   ",Glenbeigh,Kerry,Munster,Republic of Ireland
401,Patrick Roddy,C,"v Scotland Inverleith, 28 Feb 1920","Born
circa 1901, ?
   ",Unknown,Unkown,Unknown,Unknown
402,Michael Bradley,P,"v Wales Cardiff, 13 Mar 1920","Born
November 17, 1962, Cork
   ",Cork,Cork,Munster,Republic of Ireland
403,Bill Cunningham,FH,"v Wales Cardiff, 13 Mar 1920","Born
March 27, 1900
   ",Unknown,Unkown,Unknown,Unknown
404,Norman Potterton,N8,"v Wales Cardiff, 13 Mar 1920","Born
April 3, 1897, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
405,Decco Browne,H,"v France Lansdowne Road, 3 Apr 1920","Born
circa 1895, Newmarket, Cork
   ",Newmarket,Cork,Munster,Republic of Ireland
406,John Smyth,F,"v France Lansdowne Road, 3 Apr 1920","Born
January 27, 1897, Holywood, Co Down
   ",Holywood,Down,Ulster,Northern Ireland
407,George Stephenson,C,"v France Lansdowne Road, 3 Apr 1920","Born
December 22, 1901, Dromore, Down, Northern Ireland
   ",Dromore,Down,Ulster,Northern Ireland
408,John Bermingham,P,"v England Twickenham, 12 Feb 1921","Born
October 19, 1899, Rhode, Offaly
   ",Rhode,Offaly,Leinster,Republic of Ireland
409,Henry Cormack,W,"v England Twickenham, 12 Feb 1921","Born
May 13, 1892, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
410,Denis Cussen,W,"v England Twickenham, 12 Feb 1921","Born
July 19, 1901, Newcastle W, Limerick
   ",Newcastle,Limerick,Munster,Republic of Ireland
411,Charles Hallaran,L,"v England Twickenham, 12 Feb 1921","Born
June 10, 1897, Ceylon, Sri Lanka
   ",Ceylon,Unkown,Unknown,Sri Lanka
412,Thomas McClelland,F,"v England Twickenham, 12 Feb 1921","Born
August 10, 1900, ?
   ",Unknown,Unkown,Unknown,Unknown
413,Thomas Mayne,SH,"v England Twickenham, 12 Feb 1921","Born
November 14, 1893, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
414,Noel Purcell,N8,"v England Twickenham, 12 Feb 1921","Born
November 14, 1891, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
415,John Thompson,F,"v Wales Belfast, 12 Mar 1921","Born
July 15, 1898, United States,USA
   ",Unknown,Unkown,Unknown,USA
416,Cecil Davidson,W,"v France Colombes, 9 Apr 1921","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
417,Thomas Wallis,C,"v France Colombes, 9 Apr 1921","Born
October 2, 1898, Rathdown, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
418,Samuel McVicker,L,"v England Lansdowne Road, 11 Feb 1922","Born
December 12, 1890, Mosside, Co Antrim, Northern Ireland
   ",Antrim,Antrim,Ulster,Northern Ireland
419,Reuben Owens,F,"v England Lansdowne Road, 11 Feb 1922","Born
March 19, 1898, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
420,Donal Sullivan,C,"v England Lansdowne Road, 11 Feb 1922","Born
August 28, 1898, Mallow, Co Cork
   ",Mallow,Cork,Munster,Republic of Ireland
421,Jim Wheeler,FH,"v England Lansdowne Road, 11 Feb 1922","Born
December 27, 1898, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
422,Joseph Clarke,SH,"v Scotland Inverleith, 25 Feb 1922","Born
August 19, 1896, Dundrum
   ",Dundrum,Tipperary,Munster,Republic of Ireland
423,John Egan,F,"v Scotland Inverleith, 25 Feb 1922","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
424,Ivan Popham,L,"v Scotland Inverleith, 25 Feb 1922","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
425,Henry Stephenson,W,"v Scotland Inverleith, 25 Feb 1922","Born
November 28, 1900, Dromore, Down, Northern Ireland
   ",Dromore,Down,Ulster,Northern Ireland
426,Joseph Gillespie,P,"v Wales Swansea, 11 Mar 1922","Born
February 13, 1897, Boyle, Roscommon
   ",Boyle,Roscommon,Connaught,Republic of Ireland
427,Joe Stewart,FB,"v France Lansdowne Road, 8 Apr 1922","Born
September 24, 1900, Boghill, Clare
   ",Boghill,Clare,Munster,Republic of Ireland
428,Dick Collopy,P,"v England Leicester, 10 Feb 1923","Born
May 2, 1899, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
429,Dunlop Cunningham,L,"v England Leicester, 10 Feb 1923","Born
February 20, 1901, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
430,James Gardiner,SH,"v England Leicester, 10 Feb 1923","Born
October 27, 1902, ?
   ",Unknown,Unkown,Unknown,Unknown
431,Robert Gray,N8,"v England Leicester, 10 Feb 1923","Born
January 2, 1896, Ballybray, Co Monaghan
   ",Ballybray,Monaghan,Ulster,Northern Ireland
432,William Hall,FH,"v England Leicester, 10 Feb 1923","Born
August 16, 1901, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
433,Finlay Jackson,C,"v England Leicester, 10 Feb 1923","Born
November 22, 1901, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
434,Robert McClenahan,W,"v England Leicester, 10 Feb 1923","Born
May 10, 1902, ?
   ",Unknown,Unkown,Unknown,Unknown
435,Jack Mahony,N8,"v England Leicester, 10 Feb 1923","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
436,Peter Dunn,L,"v Scotland Lansdowne Road, 24 Feb 1923","Born
February 21, 1894, ?
   ",Unknown,Unkown,Unknown,Unknown
437,Jamie Clinch,F,"v Wales Lansdowne Road, 10 Mar 1923","Born
September 28, 1901, Clondalkin, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
438,Arthur Douglas,W,"v France Colombes, 14 Apr 1923","Born
August 16, 1902, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
439,Alfred Atkins,W,"v France Lansdowne Road, 26 Jan 1924","Born
April 9, 1900, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
440,William Collis,H,"v France Lansdowne Road, 26 Jan 1924","Born
February 16, 1900, Killiney
   ",Killiney,Unkown,Unknown,Unknown
441,John McDowell,FH,"v France Lansdowne Road, 26 Jan 1924","Born
May 8, 1896, ?
   ",Unknown,Unkown,Unknown,Unknown
442,Jim McVicker,L,"v France Lansdowne Road, 26 Jan 1924","Born
October 1, 1896, Ballymoney, Northern Ireland
   ",Ballymoney,Antrim,Ulster,Northern Ireland
443,Ian Stuart,L,"v England Belfast, 9 Feb 1924","Born
September 18, 1902, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
