Name,Status,County,Population,Population,Population,Population,Population,Population
Castlebellingham - Kilsaran,Census Town,Louth,762,792,721,816,"1,035","1,126"
Castleblayney,Agglomeration,Monaghan,"2,938","2,808","2,936","3,124","3,634","3,607"
Castlebridge - Blackwater,Census Town,Wexford,696,783,"1,013","1,624","1,726","1,840"
Castlecomer - Donaguile,Census Town,Kilkenny,"1,396","1,380","1,482","1,531","1,456","1,502"
Castleconnell,Census Town,Limerick,"1,391","1,414","1,343","1,330","1,917","2,107"
Castledermot,Census Town,Kildare,741,733,726,887,"1,398","1,475"
Castle Ellis,Census Town,Wexford,...,...,165,173,293,339
Castlefin,Census Town,Donegal,692,698,783,810,787,705
Castlegregory,Census Town,Kerry,159,163,186,205,243,250
Castleisland,Census Town,Kerry,"2,207","2,233","2,162","2,300","2,513","2,486"
Castlelyons,Census Town,Cork,164,164,211,203,292,374
Castlemagner,Census Town,Cork,...,...,...,...,246,281
Castlemaine,Census Town,Kerry,...,...,...,...,187,176
Castlemartyr,Census Town,Cork,587,484,577,978,"1,277","1,600"
Castlepollard,Census Town,Westmeath,863,888,895,"1,004","1,042","1,163"
Castlerea,Census Town,Roscommon,"1,822","1,790","1,788","1,873","1,985","1,992"
Castletown,Census Town,Laois,291,294,289,314,418,436
Castletownbere,Census Town,Cork,921,926,875,868,912,860
Castletown Geoghegan,Census Town,Westmeath,...,...,...,...,150,141
Castletownroche,Census Town,Cork,450,421,423,398,435,454
Castletownsend,Census Town,Cork,147,141,157,188,187,196
Causeway,Census Town,Kerry,233,261,251,211,264,257
Cavan,Agglomeration,Cavan,"5,254","5,623","6,098","7,883","10,205","10,914"
Celbridge,Census Town,Kildare,"9,629","12,289","16,016","17,262","19,537","20,288"
Charlestown - Bellahy,Census Town,Mayo,712,675,753,859,914,"1,033"
Cheekpoint,Census Town,Waterford,298,320,325,313,334,318
Churchtown,Census Town,Cork,...,...,...,217,509,598
Cill Charthaigh (Kilcar),Census Town,Donegal,307,290,262,232,248,258
Cill Rónáin (Kilronan),Census Town,Galway,295,265,270,259,297,247
Clane,Census Town,Kildare,"1,822","3,126","4,417","4,968","6,702","7,280"
Clara,Census Town,Offaly,"2,505","2,464","2,704","3,001","3,242","3,336"
Claremorris,Census Town,Mayo,"1,907","1,914","2,101","2,595","3,412","3,687"
Clarina,Census Town,Limerick,...,...,...,216,275,294
Clarinbridge,Census Town,Galway,...,...,173,257,389,384
Clashmore,Census Town,Waterford,...,...,161,224,252,252
Clifden,Census Town,Galway,808,920,"1,355","1,497","2,056","1,597"
Cliffoney,Census Town,Sligo,292,305,327,425,483,492
Cloghan,Census Town,Offaly,453,477,523,503,612,601
Clogh - Chatsworth,Census Town,Kilkenny,311,272,320,351,358,344
Clogheen,Census Town,Tipperary,499,518,550,509,491,478
Clogherhead,Census Town,Louth,746,775,906,"1,558","1,993","2,145"
Clonakilty,Agglomeration,Cork,"2,812","2,950","3,698","4,154","4,721","4,592"
Clonard,Census Town,Meath,...,...,248,347,339,347
Clonaslee,Census Town,Laois,483,504,538,501,518,566
Clonbullogue,Census Town,Offaly,335,329,390,442,422,439
Clondrohid,Census Town,Cork,...,...,...,...,188,179
Clondulane,Census Town,Cork,...,...,...,...,333,417
Clonee Village,Census Town,Meath,...,...,173,"1,000",631,826
Clonegal,Census Town,Carlow ,219,200,193,231,245,278
Clones,Agglomeration,Monaghan,"2,347","2,170","1,947","1,767","1,761","1,680"
Clongeen,Census Town,Wexford,...,...,224,217,280,267
Clonlara,Census Town,Clare,399,401,472,504,627,713
Clonmany,Census Town,Donegal,305,305,393,437,470,428
Clonmel,Agglomeration,Tipperary ,"15,562","16,182","16,910","17,008","17,908","17,140"
Clonmellon,Census Town,Westmeath,295,272,403,547,634,664
Clonroche,Census Town,Wexford,418,407,339,356,329,326
Clontibret,Census Town,Monaghan,...,...,...,...,166,172
Clontuskert,Census Town,Roscommon,246,262,236,193,188,171
Clonygowan,Census Town,Offaly,...,...,...,...,190,198
Cloonfad,Census Town,Roscommon,...,...,...,209,285,308
Cloughduv,Census Town,Cork,...,...,...,349,350,360
Cloughjordan,Census Town,Tipperary,476,447,431,394,511,612
Cloyne,Census Town,Cork,731,673,785,"1,095","1,562","1,803"
Cluain Bú (Cloonboo),Census Town,Galway,252,265,351,306,381,350
Cnoc na Muirleog (Crocknamurleog),Census Town,Donegal,307,382,346,346,415,396
Coachford,Census Town,Cork,433,408,412,439,431,408
Cobh,Agglomeration,Cork,"8,219","8,459","9,811","11,303","12,347","12,800"
Coill Dubh (Blackwood),Census Town,Kildare,693,682,592,684,693,746
Collinstown,Census Town,Westmeath,...,212,229,294,336,356
Collon,Census Town,Louth,335,308,424,564,814,896
Collooney,Census Town,Sligo,612,573,619,892,"1,369","1,610"
Cong,Census Town,Galway ,183,197,185,150,178,145
Conna,Census Town,Cork,217,209,258,376,470,526
Convoy,Census Town,Donegal,911,907,"1,028","1,193","1,438","1,526"
Coolagary (Walsh Island),Census Town,Offaly,232,239,241,365,458,443
Coolaney,Census Town,Sligo,...,...,167,208,866,990
Coolboy,Census Town,Wicklow,...,...,...,...,144,267
Coolgreany,Census Town,Wexford,380,356,398,360,370,376
Cootehall,Census Town,Roscommon,...,...,...,...,...,184
Cootehill,Agglomeration,Cavan,"1,791","1,822","1,744","1,892","2,123","1,853"
Cork,Agglomeration,Cork,"174,400","179,954","186,239","190,384","198,582","208,669"
Corofin,Census Town,Clare,382,418,382,485,689,776
Corrandulla,Census Town,Galway,...,...,...,...,...,241
Corrofin,Census Town,Galway,...,...,...,380,549,627
Courtbrack,Census Town,Cork,...,...,...,...,...,194
Courtmacsherry,Census Town,Cork,204,224,259,244,520,590
Courtown Harbour - Riverchapel - Ardamine,Census Town,Wexford,343,364,502,"1,421","2,857","3,591"
Cratloe,Census Town,Clare,510,557,656,643,674,692
Craughwell,Census Town,Galway,232,240,358,414,665,769
Creeslough,Census Town,Donegal,299,300,304,327,410,393
Crinkle (Crinkill),Census Town,Offaly,...,...,...,...,...,682
Croagh,Census Town,Limerick,...,...,...,...,222,216
Cromane,Census Town,Kerry,157,136,125,139,115,116
Crookstown,Census Town,Cork,353,345,320,302,285,245
Croom,Census Town,Limerick,"1,090","1,009","1,056","1,045","1,157","1,159"
Crossakeel,Census Town,Meath,...,...,...,...,180,181
Crossbarry,Census Town,Cork,...,...,...,...,354,368
Crosshaven - Churchbay,Census Town,Cork,"1,583","1,569","1,643","1,921","2,415","2,577"
Crossmolina,Census Town,Mayo,"1,202","1,103",935,930,"1,061","1,044"
Crusheen,Census Town,Clare,...,...,...,377,467,543
Culdaff,Census Town,Donegal,...,...,182,155,264,237
Daingean,Census Town,Offaly,641,679,777,"1,056","1,037","1,077"
Danescastle,Census Town,Wexford,...,...,168,218,306,258
Delvin,Census Town,Westmeath,305,305,271,416,697,740
Derrinturn,Census Town,Kildare,553,544,791,"1,138","1,541","1,602"
Donabate,Census Town,Dublin,"1,104","1,868","3,854","5,499","6,778","7,443"
Donard,Census Town,Wicklow,165,162,201,182,187,196
Donaskeigh,Census Town,Tipperary,...,...,...,...,147,144
Donegal,Census Town,Donegal,"2,193","2,296","2,453","2,339","2,607","2,618"
Doneraile,Census Town,Cork,815,761,800,759,757,780
Donore,Census Town,Meath,277,293,334,728,692,760
Doohamlat (Doohamlet),Census Town,Monaghan,...,...,...,...,...,257
Doohooma (Dumha Thuama),Census Town,Mayo,...,...,...,...,...,112
Doon,Census Town,Limerick,397,388,407,439,509,516
Doonbeg,Census Town,Clare,225,220,206,228,272,262
Drangan,Census Town,Tipperary,...,...,...,...,136,145
Drimoleague,Census Town,Cork,344,339,363,436,468,451
Drogheda,Agglomeration,Louth,"24,656","25,282","31,020","35,090","38,578","40,956"
Droichead Nua (Newbridge),Agglomeration,Kildare,"12,069","13,363","16,739","18,520","21,561","22,742"
Dromahair,Census Town,Leitrim,329,346,312,503,748,808
Dromina,Census Town,Cork,229,207,190,213,269,275
Dromineer,Census Town,Tipperary,...,...,...,118,113,102
Dromiskin,Census Town,Louth,443,629,949,992,"1,115","1,195"
Drommahane,Census Town,Cork,622,540,548,801,872,959
Dromore West,Census Town,Sligo,...,...,...,...,218,227
Drumcollogher,Census Town,Limerick,387,485,496,524,548,518
Drumconrath,Census Town,Meath,345,351,389,405,370,345
Drumkeen,Census Town,Donegal,...,...,...,...,151,193
Drumkeeran,Census Town,Leitrim,244,220,242,249,252,220
Drumlish,Census Town,Longford,275,274,277,429,835,931
Drumod,Census Town,Leitrim,...,...,...,210,432,555
Drumshanbo,Census Town,Leitrim,588,634,623,665,857,902
Drumsna,Census Town,Leitrim,160,143,173,217,247,240
Duagh,Census Town,Kerry,...,...,...,...,209,222
Dublin,Agglomeration,Dublin,"929,090","952,692","1,004,614","1,045,769","1,110,627","1,173,179"
Duleek,Census Town,Meath,"1,718","1,731","2,173","3,236","3,988","4,219"
Dunboyne,Census Town,Meath,"2,392","3,080","5,363","5,713","6,959","7,272"
Duncannon,Census Town,Wexford,339,318,303,291,328,305
Duncormick,Census Town,Wexford,...,...,...,...,...,116
Dundalk,Agglomeration,Louth,"30,061","30,195","32,505","35,085","37,816","39,004"
Dunderrow,Census Town,Cork,...,...,...,...,197,208
Dunderry,Census Town,Meath,...,...,...,...,186,170
Dundrum,Census Town,Tipperary,247,219,191,191,220,165
Dunfanaghy,Census Town,Donegal,280,290,293,316,312,298
Dungarvan,Agglomeration,Waterford,"6,920","7,175","7,452","8,362","9,427","9,227"
Dunhill,Census Town,Waterford,...,...,...,177,209,216
Dunkineely,Census Town,Donegal,410,395,353,363,375,361
Dunlavin,Census Town,Wicklow,720,693,814,849,830,838
Dunleer,Census Town,Louth,"1,104",988,"1,014","1,449","1,786","1,822"
Dunmanway,Census Town,Cork,"1,404","1,427","1,532","1,522","1,585","1,655"
Dunmore,Census Town,Galway,427,445,594,614,577,600
Dunmore East,Census Town,Waterford,"1,038","1,430","1,750","1,547","1,559","1,808"
Dunshaughlin,Census Town,Meath,"1,275","2,139","3,063","3,384","3,903","4,035"
Durrow,Census Town,Laois,721,696,717,811,843,835
Durrus,Census Town,Cork,188,204,283,313,334,305
Easky,Census Town,Sligo,165,174,211,240,245,239
Edenderry,Agglomeration,Offaly,"3,742","3,825","4,559","5,888","6,977","7,359"
Elphin,Census Town,Roscommon,525,545,527,591,613,565
Emly,Census Town,Tipperary,334,324,278,293,348,302
Emo,Census Town,Laois,...,231,220,225,245,257
Emyvale,Census Town,Monaghan,479,484,583,683,696,701
Enfield,Census Town,Meath,436,566,"1,072","2,161","2,929","3,239"
Ennis,Agglomeration,Clare,"16,058","17,726","22,051","24,253","25,360","25,276"
Enniscorthy,Agglomeration,Wexford,"7,655","7,640","8,964","9,538","10,838","11,381"
Enniskerry,Census Town,Wicklow,"1,238","1,275","1,904","1,881","1,811","1,889"
Ennistymon,Census Town,Clare,917,920,881,813,957,"1,045"
Erril,Census Town,Laois,...,...,...,158,196,182
Eyrecourt,Census Town,Galway,358,337,354,292,264,252
Fahan,Census Town,Donegal,309,284,338,417,569,588
Farran,Census Town,Cork,332,331,368,338,335,345
Feakle,Census Town,Clare,161,159,149,122,113,105
Fedamore,Census Town,Limerick,...,...,...,215,298,329
Fenit,Census Town,Kerry,403,390,433,435,527,538
Fennagh,Census Town,Carlow,...,...,...,...,384,402
Ferbane,Census Town,Offaly,"1,285","1,270","1,198","1,164","1,165","1,191"
Fermoy,Agglomeration,Cork,"4,462","4,469","4,804","5,873","6,489","6,585"
Ferns,Census Town,Wexford,859,915,985,954,"1,362","1,415"
Fethard,Census Town,Tipperary,"1,431","1,397","1,388","1,374","1,541","1,545"
Fethard-on-Sea,Census Town,Wexford,256,290,302,326,321,311
Fiddown,Census Town,Kilkenny,...,...,...,194,366,369
Fieries,Census Town,Kerry,...,...,...,...,491,558
Fountainstown,Census Town,Cork,812,857,852,887,894,993
Foxford,Census Town,Mayo,974,944,878,"1,058","1,326","1,315"
